os,url,kode
petsusa,https://ace.tokopedia.com/search/product/v4?shop_id=12667979&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,12667979
pgofficialstore,https://ace.tokopedia.com/search/product/v4?shop_id=208144&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,208144
philips-estore,https://ace.tokopedia.com/search/product/v4?shop_id=2004256&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
philipsofficialstore,https://ace.tokopedia.com/search/product/v4?shop_id=11437826&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,11437826
pigeonindonesia,https://ace.tokopedia.com/search/product/v4?shop_id=934035&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
pillowpeopleid,https://ace.tokopedia.com/search/product/v4?shop_id=2666894&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
pinkberrybeautys,https://ace.tokopedia.com/search/product/v4?shop_id=8417428&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,8417428
pinkflashofficialstore,https://ace.tokopedia.com/search/product/v4?shop_id=11164045&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,11164045
polo-ralphlauren,https://ace.tokopedia.com/search/product/v4?shop_id=3768792&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,3768792
puma-official,https://ace.tokopedia.com/search/product/v4?shop_id=9110660&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
puma-official,https://ace.tokopedia.com/search/product/v4?shop_id=9110660&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,9110660
pusatbayiku,https://ace.tokopedia.com/search/product/v4?shop_id=4921889&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,4921889
quaker,https://ace.tokopedia.com/search/product/v4?shop_id=2751669&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
razer,https://ace.tokopedia.com/search/product/v4?shop_id=2207588&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2207588
realfood,https://ace.tokopedia.com/search/product/v4?shop_id=2942434&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
retela-1,https://ace.tokopedia.com/search/product/v4?shop_id=7867306&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,7867306
rodeofficial,https://ace.tokopedia.com/search/product/v4?shop_id=8385523&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
rose-brand,https://ace.tokopedia.com/search/product/v4?shop_id=2603035&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,2603035
rotieneng,https://ace.tokopedia.com/search/product/v4?shop_id=8312452&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
royalcaninid,https://ace.tokopedia.com/search/product/v4?shop_id=4760578&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
russell-hobbs,https://ace.tokopedia.com/search/product/v4?shop_id=2786991&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,
safiofficial,https://ace.tokopedia.com/search/product/v4?shop_id=3446955&rows=1000&start=0&full_domain=www.tokopedia.com&scheme=https&device=desktop&source=shop_product,3446955
